             1             1
             2            -1
             3             1
             4             1
             5             1
             6            -4
             7            -5
             8             1
             9             1
            10             1
            11             1
            12             1
            13             1
            14           -12
            15           -13
            16             1
            17             1
            18             1
            19             1
            20             1
            21             1
            22            -8
            23            -9
            24           -10
            25           -11
            26           -12
            27           -13
            28           -12
            29           -13
            30           -16
            31           -17
            32           -18
            33           -19
            34           -20
            35           -21
            36             1
            37             1
            38           -36
            39           -37
            40             1
            41             1
            42             1
            43           -36
            44           -37
            45           -36
            46           -37
            47           -40
            48           -41
            49           -42
            50             1
            51             1
            52             1
            53             1
            54             1
            55             1
            56           -50
            57           -51
            58           -52
            59           -53
            60           -54
            61           -55
            62             1
            63             1
            64           -62
            65           -63
            66             1
            67             1
