              1              1
              2             -1
              3              1
              4              1
              5              1
              6              1
              7              1
              8             -4
              9             -5
             10             -6
             11              1
             12              1
             13            -11
             14            -12
             15              1
             16              1
             17              1
             18              1
             19              1
             20              1
             21              1
             22              1
             23              1
             24              1
             25              1
             26              1
             27            -23
             28            -25
             29              1
             30              1
             31              1
             32              1
             33              1
             34              1
             35              1
             36              1
             37              1
             38              1
             39              1
             40              1
             41              1
             42              1
             43            -15
             44            -16
             45            -17
             46            -18
             47            -19
             48            -20
             49            -21
             50            -22
             51            -23
             52            -25
             53            -29
             54            -30
             55            -23
             56            -24
             57            -25
             58            -26
             59            -31
             60            -32
             61            -33
             62            -34
             63            -35
             64            -36
             65            -37
             66            -38
             67            -39
             68            -40
             69            -41
             70            -42
             71              1
             72              1
             73              1
             74              1
             75            -72
             76            -74
             77              1
             78              1
             79              1
             80              1
             81              1
             82              1
             83              1
             84              1
             85            -72
             86            -74
             87            -77
             88            -78
             89            -71
             90            -72
             91            -73
             92            -74
             93            -79
             94            -80
             95            -81
             96            -82
             97            -83
             98            -84
             99              1
            100              1
            101              1
            102              1
            103              1
            104              1
            105              1
            106              1
            107              1
            108              1
            109              1
            110              1
            111            -99
            112           -100
            113           -101
            114           -102
            115           -103
            116           -104
            117           -105
            118           -106
            119           -107
            120           -108
            121           -109
            122           -110
            123              1
            124              1
            125              1
            126              1
            127           -123
            128           -124
            129           -125
            130           -126
            131              1
            132              1
            133              1
            134           -133
