              1              1
              2              1
              3              1
              4              1
              5              1
              6              1
              7              1
              8              1
              9              1
             10              1
             11              1
             12              1
             13            -11
             14            -12
             15              1
             16              1
             17              1
             18              1
             19              1
             20              1
             21            -20
             22              1
             23              1
             24              1
             25              1
             26              1
             27              1
             28              1
             29              1
             30              1
             31              1
             32              1
             33              1
             34              1
             35              1
             36              1
             37              1
             38              1
             39              1
             40              1
             41              1
             42              1
             43              1
             44              1
             45              1
             46              1
             47            -19
             48            -20
             49            -20
             50            -22
             51            -23
             52            -25
             53              1
             54              1
             55            -27
             56              1
             57            -28
             58              1
             59              1
             60              1
             61              1
             62              1
             63              1
             64              1
             65            -37
             66            -38
             67            -39
             68            -40
             69            -41
             70            -42
             71              1
             72              1
             73              1
             74              1
             75            -72
             76            -74
             77            -53
             78            -54
             79              1
             80              1
             81              1
             82              1
             83              1
             84              1
             85              1
             86              1
             87            -29
             88            -30
             89              1
             90            -85
             91              1
             92            -86
             93              1
             94            -80
             95              1
             96              1
             97              1
             98              1
             99            -31
            100            -32
            101              1
            102            -34
            103            -35
            104              1
            105            -37
            106            -38
            107              1
            108            -40
            109            -41
            110              1
            111            -59
            112            -60
            113              1
            114            -62
            115            -63
            116              1
            117            -37
            118            -38
            119           -107
            120            -40
            121            -41
            122           -110
            123            -81
            124              1
            125            -83
            126              1
            127            -95
            128              1
            129            -97
            130              1
            131              1
            132              1
            133              1
            134              1
