             1             1
             2             1
             3             1
             4             1
             5             1
             6             1
             7             1
             8             1
             9             1
            10             1
            11             1
            12             1
            13           -11
            14           -12
            15             1
            16             1
            17             1
            18             1
            19             1
            20             1
            21            -8
            22            -9
            23           -10
            24            -7
            25            -4
            26            -5
            27            -6
            28           -19
            29           -20
            30           -17
            31           -18
            32             1
            33             1
            34             1
            35             1
            36           -34
            37           -35
            38           -32
            39           -33
            40             1
            41             1
            42             1
            43             1
            44           -42
            45           -43
            46           -40
            47           -41
            48             1
            49             1
            50             1
            51             1
            52           -50
            53           -51
            54           -48
            55           -49
